I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
"... Reap your harvest ... 	If Mercury ... a small harvest ... 
... another ... 	the king's mother ... 
or ... , or the palace superintendents, the staff-bearers (and) the watchmen, or the mounted scouts (and) the trackers,	or the trackers, or the ... , or the palace superintendents, the staff-bearers and the watchmen, or the tailors, cup-bearers, cooks, confectioners and bakers, the entire body of craftsmen, or the Assyrian scribes, or the Aramean scribes, ... ,
5 cups for the bathroom;	The expenditure for the bath: The confectioner takes 2 litres of honey, 1 litre of oil, and x litres of ordinary chick-peas. — Four  litres of white honey, 3 litres of refined oil for hinhinu-flour... The brewers take ... of barley for beer. Total: 6 litres of honey, 4 litres of oil, x litres of chick-peas, ... of barley. All this is for  the bath.
total 5, at 2 seahs each.	total 70, at 2 seahs each.
Witness Šulmu-beli, village manager.	Witness Šulmu-beli-lašme, 'third man'.
... reached Aries.	... parched grain ... 
they are ... persons ... 	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Palace of Ashurnasirpal, great king, strong king, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of the world, king of Assyria, son of Adad-nārārī (II) (who was) also king of the world and king of Assyria: property of the temple of the god Ninurta. 
20 ... ;	Witness ... 
... Remanni-ilu ... 	Witness Remanni-... 
Witness Silim-Adad.	Witness Adad-ereš, from ... 
Disregard that the days ... 	Disregard that an unclean person has performed extispicy in this place... 
... , in all 4	... and shall send ... 
... habbur-wine;	x       &  bowls of habbur (wine)
If he does not, he shall pay (in) silver according to the market price of Nineveh.	He shall give it back on the first day of Nisan (I). If he does not, he shall pay the wine (in silver) according to the market price of Nineveh.
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month Tishri (VII), 13th day, eponym year of Aššur-garu'a-nere, chief cupbearer.
... Nabû-balliṭanni ... 	... Nabû-aplu-... , his servant
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I surrounded (and) conquered the cities Bīt-Kilamzaḫ, Ḫardišpu, (and) Bīt-Kubatti, their fortified walled cities. I brought out of them people, horses, mules, donkeys, oxen, and sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilion(s) (and) tents, their abodes, and reduced (them) to ashes.
to NN, ... —	... s to ... 
Witness Huziru.	Witness Ubru-Issar, servant of ... 
... of Šakkan.	... s of Šarru-kettu-iram, eunuch.
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
An estate of 60 hectares ... 	An estate of x hectares of field according to the seah of 10 'litres' ... 
... you shall come to me	... “On account of this they have perpetuated the battles between us... I shall speak to him later on.
... have blessed the king, my lord, and given a life of distant days to the king, my lord!	May they ... the enemy of the king, my lord, (and) establish a good name to the king, my lord.
So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya... 	So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar, who love my priestly service (and) who selected me (lit. “who called my name”), revealed to me a source of trunks of cedar, which since distant days grew tall and very thick as they stood in seclusion in the Sirāra mountain range.
1 can of beer.	(Their wage is) 2 talents of copper and 3 homers 6 seahs (c. 700 litres) of bread and beer.
Gabbu-amur, farmer, ... ;	Witness Nabi-ram, farmer ... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper; the Westland will diminish.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
Total 6 oxen, meat of the meal;	Total, x sheep of the meal ... 
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	Perhaps the king, my lord, will say: "Did they kill (people) within  the city gates?" I swear by the gods of the king, my lord, that they entered  only one cubit, one span into the city centre. The king, my lord, may ask about it.
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month of Shebat (XI), 1st day, eponym year of Belšunu, governor of Hindana (648 B.C.).
... utensils	... these ... 
1 ditto, the Central City;	NN, the ... of the governor of ... (normally) brings it and makes it pass before me, and they (then) seal it and bring it to the Inner City.
May I see just one sign from the king, and may we get	May I see a sign from the king, my lord, and may we get confident through it! Then we, myself, my brothers, my sons and my friends, shall come and kiss the feet of the king, our lord, and serve the king, our lord.
did not take ... 	Mercury did not ... ; the moon did not reach the sun, it set before the sun. Antares, which stood at the right horn of the moon, did not come close to the moon; it will not affect (it) at all.
To the king, my lord: your servant, Nabû-balassu-iqbi. May Nabû and Marduk bless the king, my lord! May Nabû, lord of the stylus, your god, make your reign as long-lasting as heaven and earth.	To the king, my lord: your servant, Nabû-balassu-iqbi. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord. Now I pray every day to the great gods of heaven and earth for the life, happiness and good health of the king, my lord, and for the overthrow of the enemy of the king, my lord.
Sin-aha-šubši, an exorcist, is useful to the king, my lord.	His son Bel-rimanni ... ; he is useful to the king, my lord.
3 2/3 ... ;	4 minas ... ;
Witness Ta... 	Witness Ubru-Issar, servant of ... 
Arrapha... 	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
Fifteen deserters whom the governor of Der sent to me.	As to the deserters whom the governor of Der sent to me (and) about whom the king, my lord, wrote to me: "Interrogate them!" — we have interrogated them.
... took counsel	Beautiful ... the constellation of Ninmah ... 
Seal of Mardû, village manager.	... the village manager of ... 
Perhaps the king, my lord, will say: "How many stages are there from Hunnur to Bit-Bunakki?"	Perhaps the king, my lord, will say: "Where are they from?" — Arbailaiu and Šamaš-abu-uṣur are from Luddin-ilu; ... -aplu-eriba is from Salammê. The king, my lord, should call his servants to account. Otherwise ... 
1, the woman Nikkal-šarrat.	From the mouth of the woman Urkittu-šarrat of Calah.
... s before you	Concerning the horses about which you wrote, even before you wrote I sent the treasurer Aššur-gimilli-terra with the army. Do whatever is opportune to do, be it to block the canal or to subjugate those people.
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom (iii 60) I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. (iii 65) He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom I had defeated and whose forces I had scattered during my first campaign — (iii 15') became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. (iii 20') I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.
Gullusu, prefect of the Itu'aeans;	Witness Tabnî, prefect of the Gurreans.
