not to harm ... 	... to conquer a land not obedient to me ... 
May I see just one sign from the king, and may we get	May I see a sign from the king, my lord, and may we get confident through it! Then we, myself, my brothers, my sons and my friends, shall come and kiss the feet of the king, our lord, and serve the king, our lord.
did not take ... 	... shore of the sea ... did not have ... 
(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred  from Damascus to Assyria.	(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred from Damascus to Assyria.
Sin-aha-šubši, an exorcist, is useful to the king, my lord.	Aqrea is a refugee from Assyria; he has brandmarks on his face and wrists but is a very competent exorcist, and is useful to the king, my lord.
3 2/3 ... ;	x+3 ditto, ditto, the front red, of the country; 30 ... ;
Witness Ta... 	Witness ... 
Arrapha... 	By command of the god Enlil and ... my attack in Arrapḫa ... seventh day ... and I sacrificed 
Fifteen deserters whom the governor of Der sent to me.	As to the deserters whom the governor of Der sent to me (and) about whom the king, my lord, wrote to me: "Interrogate them!" — we have interrogated them.
... took counsel	... he took counsel with himself
Seal of Mardû, village manager.	Seal of Martu', village manager of the queen; seal of Mardî; a total of two men, servants of the governor of Barhalza, owners of the people being sold.
1, the woman Nikkal-šarrat.	the woman Nikkal-amat.
... s before you	... before Nadinu,
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom (iii 60) I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. (iii 65) He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then (iii 55) dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.
1, cohort commanders of the bodyguard;	Witness Aššur-ila'i, cohort commander of the royal bodyguard.
Witness Kukulu. Witness Kullulu.	Witness Kinua. Witness Mullu-abu.
... wage war?	... we arrived
Witness Sasî, mayor ... 	Witness Sasî, mayor of ... 
... curses 	I will array the ... horses trained to the yoke which have arrived.
... let him come up	... let them come ... 
... and seeks a lawsuit or litigation against Zabdî, his sons and his grandsons,	Whoever in the future, at any time, whether Daddî or his sons or brothers, or his ... or any relative of his, whoever lodges a  complaint and seeks  a lawsuit or litigation against Remanni-Adad,  his sons and grandsons,
Agudu: the guardian of its ... 	Enlil-qarrad: the guardian of its ... 
Azâ ... 	Bakkâ ... 
upon the dais ... 	And the dais ... 
Witness Bel-zeru-iqiša, ... 	Witness Bel-zeru-iddina, ... 
Palace of Sargon (II), appointee of the god Enlil, nešakku-priest of (the god) Aššur, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), favorite of the great gods;	Palace of Sennacherib, great king, strong king, king of the world, king of Assyria, king of the four quarters (of the world), favorite of the great gods, wise prince, circumspect ruler, shepherd of the people, (and) leader of a widespread population, I:
... in the middle surface of the 'finger' there is a 'weapon'-mark which faces the top of the 'finger.'             	The base of the 'station' is protruding pointedly. In the top of the left surface of the 'finger' there is a 'weapon'-mark which faces the top of the 'finger.'
28 stars ... 	... from Kislev (IX) until now ... was loosened, and the moon and the stars ... were loose and ... is not near; to ... is near.
Afterwards, I decided to increase the height of the terrace, then I added 30 courses of brick to the former (terrace) and (thus) I raised (it) to a height of 190 courses of brick. I made the area larger than before, (vi 40) added (it) to the former dimensions of the palace, and (thus) enlarged its structure. 	Afterwards, I decided to increase the height of the terrace, then I added 20 courses of brick to the former (terrace) and (thus) I raised (it) to a (total) height of 180 courses of brick. (55) I made the area larger than before, added (it) to the former dimensions of the palace, and (thus) enlarged its structure. 
To the king, my lord: your servant Šamaš-metu-uballiṭ. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
Witness Šama', scribe.	Witness Nargî, scribe.
... the breast-bone is thick. The coils of the colon are 14 in number... 	The breast-bone is thick. The coils of the colon are 16 in number. The heart of the ram is normal. Check-up... 
If in Marchesvan (VIII) Adad thunders, the day becomes cloudy, it rains, a rainbow stretches, lightning flashes: a famous important person will fall.	If in Tishri (VII) Adad thunders, the day becomes cloudy, it rains, a rainbow stretches, lightning flashes: the gods will have mercy on the land.
16 2-seah jars of hinhinu-seeds;	3 2-seah jars of hinhinu-seeds;
... the royal house	... the royal bodyguard
1 dark, fine garment of linen:	1 dark, fine garment:
NN, ... ya, Marduk-šumu-uṣur,	... Marduk-šumu-uṣur, Naṣiru ... 
To the king, my lord: your servant, Marduk-šallim-ahhe, the one who blesses you. Good health to the king, my lord. May Aššur, Sin, Šamaš, Bel, Nabû, Ištar of Nineveh, and Ištar of Arbela very greatly bless the king, my lord. May they give to the king, my lord, long days and years of physical well-being.	To the king, my lord: your servant, Marduk-šallim-ahhe, the one who blesses you. Good health to the king, my lord. May Aššur, Bel, Nabû, Sin, Šamaš, Ištar of Nineveh, and Ištar of Arbela very greatly bless the king, my lord. May they give to the king, my lord, long days and years of physical well-being.
... , 2 carpenters;	... , from  the ... carpenters;
Envelope of 10 minas of silver, capital,	Envelope of  2 minas of silver, capital, by the mina of Carchemish.
Witness Sumaya, scribe.	Witness Nargî, scribe.
Ditto Nabû-šarru-uṣur.	1, Nabû-šarru-uṣur, governor of Nineveh
at the disposal of the woman Ubite ... 	Up to now nobody ... has put their property either at the disposal of Bel or at the disposal of the king ... 
Month Sivan (III), ... th day, eponym year of Sennacherib, king of Assyria.	Month Tammuz (IV), 15th day, eponym year of Sennacherib, king of Assyria.
Month ... , xth day, eponym year of Bel-lu-dari.	Month ... , 30th day, eponym year of Metunu.
x ditto garments, the front red, of the country;	1 urnutu-garment, the front (red), of the country.
41 children of 4 spans' height;	38 children of 5 spans' height;
I have asked ... 	Nabû-ušabši, the haruspex, has incited the ... , the palace supervisor, and the magnates against me. I have sent ... a letter about it to the king, my lord. The king should summon him and have him brought in. He must not conceal ... 
10 turtledoves. 5+x ... 	10 turtledoves. A tureen of bouillon
from his servants ... 	... his servant ... 
in accordance with the command of your great divinity, Šamaš, great lord, and your favorable decisions, should the subject of this query, Esarhaddon, king of Assyria, strive and plan, and send his messenger to Hubuškia?	in accordance with the command of your great divinity, Šamaš, great lord, and your favorable decisions, should the subject of this query, Esarhaddon, king of Assyria, strive and plan, and send ... ? If he, having planned, sends him,
and with you ... 	and who ... ed the kingship ... 
... will take up residence.	If in Shebat (XI) the earth quakes: the enemy will take up residence in the ruler's palace; the ruler will be humiliated in the land of his enemy.
the year which ... 	their sick eyes which ... 
Province of Que... 	... (province of) Que. 
Witness Nergal-remanni, ... 	Witness Nergal-šallimanni, chief ... 
... in the town of Diati; ... 	... his ... in the town of ... 
... is loose. Its left is split. The breast-bone is thick. The coils of the colon are turned on the left and are 18 in number... 	... the right lung is split. There is a 'foot'-mark in the left of the lung. The breast-bone is thick. The coils of the colon are turned on the left and are 16 in number. The heart of the sheep is normal... 
Corn or straw taxes shall not be exacted from that village.	Corn or straw taxes shall not be exacted from that land.
