I brought ... and gave ... where ... 	... whom the king ... 
(As for) the one who alters the work of my hands, mutilates my features (on a relief), obliterates the reliefs that I have engraved (lit.: “engrave”), (or) effaces my own representation(s), may the gods Aššur, Šamaš, Adad, and the gods who dwell there remove his name (and) his descendant(s) from the land and make him live in bondage under his enemy.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... befitting (his) divinity, whose appearance is brightened with a selection of stones and gold — For the god Ea, (my) lord, the one who makes my kingship surpassing, the god Nabû, the overseer of the totality of heaven and earth and the one who prolongs the days of my life, (and) the goddess Tašmētu, the lady who safeguards my life, I had (these garments) made as ceremonial garment(s) befitting their great divinity.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
x+20 male goats, 100 female goats, 	x+2 talents, Ili-zabada, scribe of the mayor of Nineveh.
since he is an 'early bird,' let the day (= the sun) rise for an hour and a half, thereupon she may enter. Soon after that my lord should have himself shaved.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
The priest of Aššur ... before Šerua ... 	... ditto, ditto, the front red, of the port; 4 ... ;
I improved ... ; the people ... 	... whom the king ... 
I am returning, and (after) I have crossed (the Euphrates),  perhaps the gods of the king will grant me that I collect all the  harvest there is.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
an estate of 300 (hectares) of field, a house, an orchard of 5  hectares ... 	... ditto, ditto, the front red, of the port; 4 ... ;
... below her.	... we captured
... of the palace ... a wooden box ... 	... whom the king ... 
whether Nabû-... or his sons seeks a lawsuit or litigation against Ninuayu, and his brothers	To the king, my lord: your servant Balasî. Good health to the king, my lord!
A mare in ... 	Witness ... 
Moving on from this camp I marched to the cities in the plain of Mount Niṣir which no one had ever seen. I conquered the city Larbusa, the fortified city (iii 5) which (was ruled by) Kirteara, (and) eight cities in its environs. The troops were frightened (and) took to a rugged mountain. The mountain was as jagged as the point of a dagger. The king with his troops climbed up after them. I threw down their corpses within the mountain, massacred 172 of their fighting men, (iii 10) (and) piled up many troops on the precipices of the mountain. I brought back captives, possessions, oxen, (and) sheep from them (and) burnt their cities. I hung their heads on trees of the mountain (and) burnt their adolescent boys. I returned to my camp (and) spent the night.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Total 26 ... 	Witness ... 
... in the middle ... there is a 'request'-mark... 	... whom the king ... 
5 urnutu-garments, ditto, ditto, ditto, ... ;	Witness Ubru-Issar, servant of ... 
But I will not listen to it. Your brotherhood with the Assyrians and your privileged status which I have established remain valid until the present day; you are close to my heart. Correspondingly, do not listen to his vain words, do not taint your name which is in good repute before me and the whole world, do not make yourself culpable before God.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
he said: "... 	Witness ... 
(As) the king, my lord, knows, the ilku-duty (of the physicians) is tomorrow. A 'third man' is saying: "I am under orders; the physician should come with me!" I am afraid; without (the permission of) the king I will not go	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
an estate of ditto, a threshing floor, a half of a garden in the village of La-qepu, adjoining the road of Kapar-rabuti and the road of the village of ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
in your hearts conceive and put into words an ugly scheme or an evil plot against your lord Assurbanipal, king of Assyria,	The governor threw the sceptre from his hands, placed his arms on his chest, and said: "You are his servants! What are you saying? You ... your dynastic house! I ... your city."
In my tenth regnal year I crossed the Euphrates for the eighth time. <I captured> the cities of Sangara, the Carchemishite. Moving on from the cities of the Carchemishite I approached the cities of Aramu (and) captured Arne, his royal city, together with one hundred cities in its environs.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
On the day that Edu-šallim pays 1 1/2 minas of silver to Mušezib, he shall redeem his land.	Disregard that an unclean person has performed extispicy in this place... 
... the heart of Nabû-ahu-ereš	... we captured
At that time, (with regard to) Emašdari, the temple of the goddess Ištar of Agade, whose foundation(s) had fallen to pieces (and) turned into ruins, whose brickwork alkali burned to ashes, whose site remained desolate, whose shrine was not standing (lit. ‘built’), whose cella was in ruins, (and where) incense(-offerings) had ceased, my heart pondered (re)building this temple and my mind desired (to carry) it (out). 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
