x talents, Sam'al;	x talents, the manager of the Review Palace;
Seal of Lidbubu-lipušu, seal of Ahi-nuri, a total of 2 men, owners of the man being sold.	Seal of Sin-ahu-iddina, seal of Tuwi, a total of 2 men, owners of the women being sold.
... sick ears	... of ears
Witness ... Witness Nabuza', merchant.	Witness ... mea, merchant.
Month ... , ... th day, eponym year of Nabû-le'i, governor of Arbela.	Month ... , 27th day, eponym year of Šulmu-šarri, governor of Halziatbar.
— The Yoke star means Mars.	The Yoke star (means) Mercury; it is faint (and) ... are scarce.
That which is (written) upon a silver spoon of the goddess Tašmētu of the Inner City (Aššur).	That which is (written) upon a kallu-bowl (and) šulpu-bowl of the god Nabû of the Inner City (Aššur).
Whoever erases my inscribed name (or) places (it) in the service of a god or (another) person, may the deities Aššur, Sîn, (and) Šamaš make his name (and) his seed disappear.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
... I received, before Anu	... I received a substantial audience gift from Nabû-bēl-šumāti, the official in charge of the city Ḫararatu: gold, silver, large musukkannu-trees, donkeys, camels, oxen, and sheep and goats.
"... Reap your harvest ... 	... their harvest ... 
... another ... 	the king's mother ... 
or ... , or the palace superintendents, the staff-bearers (and) the watchmen, or the mounted scouts (and) the trackers,	or the trackers, or the ... , or the palace superintendents, the staff-bearers and the watchmen, or the tailors, cup-bearers, cooks, confectioners and bakers, the entire body of craftsmen, or the Assyrian scribes, or the Aramean scribes, ... ,
total 5, at 2 seahs each.	total 70, at 2 seahs each.
Witness Šulmu-beli, village manager.	Witness Bel-lamur, village manager.
... reached Aries.	... reached, saying: "... 
they are ... persons ... 	Palace of Sennacherib, king of Assyria: (This is) the audience gift that Karib-il, king of the land Saba, presented to me. Whoever places (it) in the service of a god (or another) person ... 
Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: plunder from the city Mariru of the land Ḫatti.	Palace of Ashurnasirpal, king of the world, king of Assyria, son of Tukultī-Ninurta (II), king of Assyria, son of Adad-nārārī (II) (who was) also king of Assyria: (brick) belonging to the Bīt-natḫi of Nineveh.
20 ... ;	Witness ... 
... Remanni-ilu ... 	... "Naṣib-ilu ... 
Witness Silim-Adad.	Witness Adad-ereš, from ... 
Disregard that the days ... 	Disregard that a clean or an unclean person has touched the sacrificial sheep, or blocked the way of the sacrificial sheep... 
... , in all 4	... in all 10 persons,
... habbur-wine;	... habbur-wine ... 
If he does not, he shall pay (in) silver according to the market price of Nineveh.	If he does not, he shall pay according to the market price of Nineveh.
Month Tishri (VII), 25th day, eponym year of Aššur-da''inanni of Que.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
... Nabû-balliṭanni ... 	... Nabû-bel-šumati ... 
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I surrounded (and) conquered the cities Bīt-Kilamzaḫ, Ḫardišpu, (and) Bīt-Kubatti, their fortified walled cities. I brought out of them people, horses, mules, donkeys, oxen, and sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilion(s) (and) tents, their abodes, and reduced (them) to ashes.
to NN, ... —	Witness NN, ... 
Witness Huziru.	Witness Azi-il, scribe.
... of Šakkan.	I ask you, Šamaš, great lord, whether the 'hand' of god ... of Akkad, which is being placed on Assurbanipal, king of Assyria, in extispicy, is ... of Akkad ... 
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
An estate of 60 hectares ... 	An estate of x hectares of field according to the seah of 10 'litres' ... 
... you shall come to me	Ever since the province of Isana was formed, its corn taxes  have been extracted. Now Kakkaia ... has come and driven away the  delegate. Out of the 50 delegates of ... , one has come to me, saying:  "The treasurer of the crown prince's household has appropriated  an estate of  40 hectares of sown land in the town of Pa... "
... have blessed the king, my lord, and given a life of distant days to the king, my lord!	On the 17th day Sin sets off and takes up residence in the akītu-temple. Let the king, my lord, order that they give the garments; I should bring them with me. The penitential psalm will be performed over them, he will bless the king, my lord, and give a life of distant days to the king, my lord.
So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya... 	So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar, who love my priestly service (and) who selected me (lit. “who called my name”), revealed to me a source of trunks of cedar, which since distant days grew tall and very thick as they stood in seclusion in the Sirāra mountain range.
1 can of beer.	(Their wage is) 2 talents of copper and 3 homers 6 seahs (c. 700 litres) of bread and beer.
Gabbu-amur, farmer, ... ;	Witness Nabi-ram, farmer ... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and Mars stands in it: loss of cattle; in all lands cultivated fields and dates will not prosper; the Westland will diminish.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
Total 6 oxen, meat of the meal;	In all, 2 oxen, meat (from) the meal;
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	... Perhaps the king, my lord, will say: “... in ... 
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month of Shebat (XI), 1st day, eponym year of Belšunu, governor of Hindana (648 B.C.).
... utensils	We have given millstones, household utensils, and pigs to  these 50 cavalrymen ... 
1 ditto, the Central City;	6 ditto, the New Palace of the Central City;
May I see just one sign from the king, and may we get	May I see a sign from the king, my lord, and may we get confident through it! Then we, myself, my brothers, my sons and my friends, shall come and kiss the feet of the king, our lord, and serve the king, our lord.
did not take ... 	it did not close ... in it.
(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred  from Damascus to Assyria.	(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred from Damascus to Assyria.
Sin-aha-šubši, an exorcist, is useful to the king, my lord.	NN has crossed over from Elam; he fully masters extispicy and is an expert in Enūma Anu Enlil, ancient and Sumerian hermeneutics and the secrets of heaven and earth; he is useful to the king, my lord.
3 2/3 ... ;	x+3 ditto, ditto, the front red, of the country; 30 ... ;
Witness Ta... 	Witness ... 
Arrapha... 	By command of the god Enlil and ... my attack in Arrapḫa ... seventh day ... and I sacrificed 
Fifteen deserters whom the governor of Der sent to me.	As to the deserters whom the governor of Der sent to me (and) about whom the king, my lord, wrote to me: "Interrogate them!" — we have interrogated them.
