I brought ... and gave ... where ... 	... and shall send ... 
I brought out of them ... sheep and goats, and I counted (them) as booty. Moreover, I destroyed, devastated, (and) turned into ruins their small(er) settlements, which were without number. I burned with fire pavilions (and) tents, their abodes, and reduced (them) to ashes.	I sent troops of mine who were stationed on the border of his land against him (and) they brought about their defeat. They struck down with the sword the people of the land of the Arabs, as many as had risen up against me, (and) (x 15) set fire to pavilion(s and) tents, their abodes, (and thus) consigned (them) to the god Gīra.
to NN, ... —	Witness ... 
Witness Huziru.	Witness ... 
... of Šakkan.	... whom the king ... 
To the king of the lands, my lord: your servant, Šuma-iddin. May Nabû and Marduk bless the king of the lands, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
Whoever contests the labour duty, shall pay the money tenfold.	shall tie 2 white horses at the feet Sin residing in Harran, shall return the money tenfold to its owners.
An estate of 60 hectares ... 	pestilence ... 
They are the strongest among the gods; they love and keep sending their love to Assurbanipal, the creation of their hands. They give him heart for the sake of his life:	An estate of 3 hectares of land on the edge of an irrigation outlet, adjoining the road to Calah, (the field of) Zabinu, and the side road to the village of the Aramean;
... you shall come to me	... and shall send ... 
... have blessed the king, my lord, and given a life of distant days to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
of the city ... 	Witness ... 
So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar revealed to me the presence of white limestone in the city Balāṭāya... 	So that the construction of my palace might be carried out correctly and that my handiwork be completed, at that time, the god Aššur and the goddess Ištar, who love my priestly service (and) who selected me (lit. “who called my name”), revealed to me a source of trunks of cedar, which since distant days grew tall and very thick as they stood in seclusion in the Sirāra mountain range.
1 can of beer.	the gods of Der. 
Gabbu-amur, farmer, ... ;	before ... 
If the moon is surrounded by a halo, and Mars stands in it: in all lands cultivated fields and dates will not prosper; variant: the Westland will diminish.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
I have crossed the Euphrates twenty-eight times, twice in one year, in pursuit of the Aḫlamû-Arameans. I brought about their defeat from the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as the city Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.	I marched to Karduniaš (Babylonia). I conquered from the city Turšan on the other side of the Lower Zab, the city Arman of Ugar-Sallu, as far as the city Lubdu. I crossed over the River Radānu. I conquered the cities at the foot of Mount Kaštilla (and) the foot of Mount Kamulla. I took out their booty (and) possessions (and) brought them to my city Aššur.
Last year in Tarninu the king, my lord, gave to his servant two teams of horses from the possession of ... the eunuchs of the treasurer. They used to eat ... at the expense of the treasurer.	Perhaps the king, my lord, will say: "What is the news of the king of Elam?" The king of Elam is in the mountain, in the town Burati. He has not set out, he is still there.
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant NN. Good health to the king, my lord!
Total 6 oxen, meat of the meal;	20 talents, the house of the queen;
I took (and) uprooted 4,000 Urumu (and) Abešlu, insubmissive troops of Ḫatti, (and) regarded them as people of my land.	I took (and) uprooted 4,000 Urumu (and) Abešlu, (insubmissive) Hittite troops, (and) regarded them as belonging to my land.
With ... provincial governors of my land, overseers, commanders, nobles, eunuchs, and el­ders of Assyria, I sat down inside my palace and held a festival.	Kīdītê, provincial governor of ... and of (the city) Arrapha ... , protégé of Tiglath-pileser, king of Assyria, (... ) ... for the palace of joy ... dedicated/built.
I am waiting for ... Perhaps the king, my lord, will say:  "... 	and who ... ed the kingship ... 
Would I write untruly to the king, my lord? Let the king, my lord,  ask Bel-ahu-uṣur and Ubru-ahhe: "What is the orchard there?"	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
Month Ab (V), 5th day ... , eponym year of Metunu, governor of Isana.	Month ... , 23rd day, eponym year of Zazaya.
... utensils	... Arbela
Written in the month ... , day twelve. 	— On the 14th day it will be seen.
1 ditto, the Central City;	... ditto, ditto, the front ditto, 1 1/3 mina;
May I see just one sign from the king, and may we get	The forts and the land of the king, my lord, are well.
did not take ... 	Witness ... 
To the king, my lord: your servant, Nabû-balassu-iqbi. May Nabû and Marduk bless the king, my lord! May Nabû, lord of the stylus, your god, make your reign as long-lasting as heaven and earth.	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
(Ammili'ti) the son of Amiri readied himself with 300 she-camels, intending to attack the booty being transferred  from Damascus to Assyria.	At the command of my great divinity you conquered their cities and took heavy booty as plunder from them to Assyria.
Sin-aha-šubši, an exorcist, is useful to the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
3 2/3 ... ;	4 minas ... ;
Witness Ta... 	Witness ... 
4 shekels, deficit of the ... , reconverted into 5 minas 39 shekels of good gold:	NN, chief ... has contracted and bought for half a mina 5 shekels of silver.
Arrapha... 	when ... 
I, (nothing but) a dog, blessing the king, his lord, have blessed the king, my lord (with) these blessings. May the gods whose names I have invoked, accept and hear them, and grant these blessings to the king, my lord, a thousandfold!	Let them accept and assign ... where the king my lord asked, and let him go to his duty and invoke blessings upon the  king my lord before Sin and Nikkal.
Fifteen deserters whom the governor of Der sent to me.	shall give ... to the governor of his city,
... took counsel	... we captured
Seal of Mardû, village manager.	Witness Ubru-Nabû, palace manager.
Perhaps the king, my lord, will say: "How many stages are there from Hunnur to Bit-Bunakki?"	May the king, my lord, not say: "He is a traitor!"
Likewise they are ... each other,	let him attack ... the archers
the king my lord ... 	... whom the king ... 
1, the woman Nikkal-šarrat.	1, the woman Humatate.
... s before you	... s to ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom (iii 60) I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. (iii 65) He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Bīt-Yakīn. He — Marduk-apla-iddina (II) (Merodach-baladan), whom I had defeated and whose forces I had scattered during my first campaign — became frightened by the clangor of my mighty weapons and my fierce battle array, then (iii 55) dislodged the gods of the (full) extent of his land from their abodes, and loaded (them) onto boats. He flew away like a bird to the city Nagīte-raqqi, which is in the midst of the sea. I brought his brothers, the seed of his father’s house, whom he had abandoned at the shore of the sea, together with the rest of the people of his land, out of the land Bīt-Yakīn, which is in the swamps and marshes, and I counted (them) as booty.
1, Marduk-eriba, governor of (U)pumu;	1, Nabû-šarru-uṣur, governor of Nineveh
Gullusu, prefect of the Itu'aeans;	20 talents, the house of the queen;
... Guzana from Dur-Šamaš ... 	... s to ... 
... I received the payment of ... , Sulumal of the land Melid, ... 	... the kings, my descendants, ... the people ... the great gods ... 
In my fifth regnal year I moved out from Nineveh and ascended Mount Kašiyari. I captured eleven fortified cities (and) confined Anḫitti the Šubraean to his city (and) received his tribute. ii 19-33) In my sixth regnal year I moved out from Nineveh and approached the cities on the banks of the River Baliḫ (Paliḫ). They became frightened in the face of my mighty weapons and killed Giammu, their city ruler. I entered the city Tīl-turaḫi (and) claimed the city as my own. Moving on from the banks of the River Baliḫ (Paliḫ) I crossed the Euphrates in flood. I received tribute from the kings of the land Ḫatti. (ii 25) Moving on from the land Ḫatti I approached the city Aleppo (Ḫalman) (and) made sacrifices before the god Adad of Aleppo (Ḫalman). Moving on from Aleppo (Ḫalman) I approached the city Qarqar. Hadad-ezer (Adad-idri), the Damascene, (and) Irḫulēnu, the Ḫamatite, together with twelve kings on the shore of the sea, trusting in their united forces, (ii 30) attacked me to wage war and battle. I fought with them. I put to the sword 25,000 of their fighting men (and) captured from them their chariotry, cavalry, (and) military equipment. To save their lives they ran away. I boarded boats (and) went out upon the sea.	In my eleventh regnal year I crossed the Euphrates for the ninth time. I captured ninety-seven cities of Sangara (and) one hundred cities of Aramu. I took to the slopes of the Amanus range, (ii 55) crossed Mount Iaraqu, (and) descended to the cities of the people of Ḫamat. I captured the city Abšimaku (Aštammaku?), together with eighty-nine cities. At that time (iii I) Hadad-ezer (Adad-idri), the Damascene, (and) Irḫulēnu, the Ḫamatite, together with twelve kings on the shore of the sea, trusting in their united forces, (attacked me) and I fought with them (and) defeated them. I put to the sword 10,000 of their fighting men.
